sample_idx,label_idx,character,seq_length,feature_mean,feature_std,feature_min,feature_max
137,14,o,5,0.5687015,5.6802783,-54.626465,64.04877
138,22,w,5,0.4046465,4.146519,-38.856506,29.472351
139,36,SPACE,7,-0.11196576,19.601978,-249.9466,172.24121
140,1,b,10,-6.3204904,32.446373,-249.97711,187.54578
141,4,e,2,-0.7127825,6.0370264,-62.431335,31.49414
142,36,SPACE,7,-0.31186745,20.956081,-246.02509,133.30078
143,12,m,4,-0.68542737,17.091953,-250.0,125.0
144,0,a,4,-0.2037482,11.236852,-153.49579,93.811035
145,24,y,5,-1.4667715,22.474026,-249.84741,127.067566
146,36,SPACE,8,-1.5568954,24.263817,-249.82452,234.58862
147,14,o,6,-1.1157005,15.755254,-249.51172,125.061035
148,38,BACKSPACE,10,-2.323274,31.461803,-249.9466,234.93958
149,8,i,8,-2.0012434,19.50661,-249.25995,187.52289
150,13,n,5,-1.2267282,15.786967,-237.60223,187.72125
151,2,c,4,-1.0266722,14.840937,-185.00519,62.667847
152,5,f,9,-0.9903542,24.302122,-248.36731,109.49707
153,4,e,10,-2.2906685,31.389057,-249.99237,165.09247
154,0,a,7,0.9915379,27.54581,-249.80927,196.38062
155,18,s,8,-1.4577384,32.163475,-249.71008,222.6944
156,4,e,6,-0.91821796,26.493124,-240.92865,187.5
157,36,SPACE,10,-2.1917298,35.541794,-249.97711,156.31104
158,11,l,5,-2.290147,15.496839,-201.65253,42.96875
159,8,i,8,-0.6355133,11.9312525,-234.27582,25.08545
160,5,f,3,-0.24188785,8.950215,-125.0,101.07422
161,4,e,5,-1.079978,19.516857,-249.49646,91.6748
162,36,SPACE,5,-0.86854887,17.290588,-248.99292,79.11682
163,19,t,9,-5.3925767,32.165894,-249.97711,165.39764
164,14,o,3,1.0783647,23.4754,-249.02344,234.86328
165,14,o,5,-0.3619738,15.986507,-218.45245,126.953125
166,36,SPACE,6,-0.017145151,13.634534,-249.4278,122.680664
167,5,f,5,-0.53896546,14.974064,-186.95831,149.05548
168,8,i,4,-0.77636814,24.088013,-249.64142,226.5625
169,13,n,3,-0.9578787,18.101425,-249.96948,143.0664
170,3,d,5,0.6859437,9.922547,-92.75055,62.5
171,36,SPACE,5,-0.49434665,25.65056,-249.96185,190.73486
172,2,c,8,-1.2002677,22.226316,-242.11884,218.77289
173,14,o,2,0.20537904,9.107691,-124.97711,66.40625
174,20,u,8,-1.6331785,20.296965,-234.36737,187.99591
175,17,r,2,-0.26121125,6.165392,-124.62616,29.296875
176,18,s,10,1.0995176,24.078707,-238.44147,187.50763
177,4,e,7,-2.0627277,30.236094,-247.52045,157.57751
178,36,SPACE,4,-0.72702456,24.425026,-249.98474,130.43213
179,0,a,7,-0.93138075,26.447886,-234.375,189.08691
180,13,n,4,-0.7568438,20.271935,-250.0,125.0
181,3,d,2,-1.9892665,15.904342,-200.6607,43.5791
182,36,SPACE,4,-1.3350276,22.114132,-248.5199,160.2478
183,10,k,7,-0.6539868,16.064089,-124.96185,129.91333
184,4,e,6,0.8848151,16.819307,-179.17633,125.04578
185,4,e,3,-0.6000387,27.919695,-249.71771,160.53009
186,15,p,4,0.07837519,23.405964,-249.71771,160.17151
187,36,SPACE,7,-2.560124,23.2964,-250.0,125.85449
188,0,a,6,0.5081911,23.461432,-249.77875,223.7091
189,5,f,10,-5.375532,37.184723,-250.0,205.09338
190,19,t,7,-3.1924171,30.464224,-249.80164,125.97656
191,4,e,8,0.11470244,32.303432,-245.84198,157.34863
192,17,r,1,-0.07976296,12.460592,-244.54498,87.52441
193,36,SPACE,8,-3.1494014,37.869045,-250.0,230.95703
194,18,s,7,-0.07361233,24.869553,-249.99237,203.125
195,0,a,7,-2.6823645,30.881433,-249.9466,130.98145
196,12,m,6,-0.7388533,18.191183,-237.67853,141.60156
197,4,e,4,-2.887653,25.20688,-249.97711,94.48242
198,36,SPACE,7,-0.24622321,31.006447,-249.95422,164.12354
199,39,TAB,10,-3.584332,27.183186,-250.0,125.22125
200,37,ENTER,6,-0.8165039,12.2303095,-249.25232,54.6875
201,19,t,10,-2.7649355,22.782053,-226.52435,173.51532
202,7,h,4,-0.12227451,10.38028,-124.50409,125.22888
203,8,i,4,0.24064006,12.635534,-92.77344,218.9331
204,13,n,8,-2.16596,19.090523,-249.90082,41.015625
205,6,g,4,-1.4493687,11.841288,-218.52875,39.55078
206,38,BACKSPACE,9,-1.0300257,18.05803,-248.00873,50.10986
207,10,k,8,0.11182114,4.3720665,-62.39319,24.795532
208,36,SPACE,9,0.5602752,7.3638067,-94.955444,46.936035
209,22,w,6,0.12062635,17.247677,-148.39172,140.625
210,0,a,9,-0.78919303,24.110521,-249.96948,125.79346
211,24,y,2,0.45314068,15.943415,-249.99237,187.54578
212,36,SPACE,6,-3.3306782,20.680689,-244.56787,123.2605
213,11,l,7,-5.776858,28.65671,-249.90082,85.990906
214,8,i,9,-3.6775303,24.060146,-248.93188,189.46075
215,19,t,4,-0.263404,6.238963,-96.54999,31.433105
216,19,t,4,-0.915943,19.45366,-249.99237,244.4458
217,11,l,2,0.3202329,8.13498,-123.77167,70.3125
218,4,e,7,0.43584502,24.11544,-250.0,126.953125
219,5,f,7,-5.0645857,32.315636,-238.25073,149.5285
220,0,a,8,1.4904656,34.288773,-250.0,225.60883
221,2,c,10,-4.380187,40.250042,-249.97711,204.89502
222,19,t,7,-1.4886392,30.120565,-234.25293,242.1875
223,36,SPACE,6,-2.621012,29.808332,-249.87793,166.50389
224,18,s,10,1.3950151,33.994976,-250.0,222.66388
225,19,t,4,-0.25276995,11.620009,-142.53998,68.66455
226,0,a,5,-0.8747839,21.756956,-187.2406,227.35596
227,19,t,2,-0.5923335,14.062965,-218.72711,125.01526
228,4,e,2,-0.628989,12.279912,-246.09375,55.877686
229,36,SPACE,9,-2.0817766,32.295097,-249.98474,189.73541
230,2,c,2,-1.862919,15.76674,-238.22021,66.79535
231,0,a,8,-0.60926336,28.232044,-241.34827,152.35138
232,13,n,2,1.0705727,20.821047,-246.09375,137.4588
233,36,SPACE,3,-1.8993644,20.414585,-248.53516,138.67188
234,12,m,8,-2.294043,26.317629,-249.90082,188.47656
235,14,o,2,-0.46212366,7.044342,-124.95422,35.476685
236,17,r,4,-1.3370866,12.247768,-124.97711,78.36914
237,4,e,4,-2.062725,26.667784,-249.86267,127.12097
238,36,SPACE,5,0.034415647,21.846642,-234.30634,144.53125
239,22,w,4,0.65574133,20.494411,-249.87793,191.40625
240,7,h,2,-0.7559434,19.915884,-237.66327,189.54468
241,8,i,7,-3.2832127,27.555817,-250.0,234.56573
242,4,e,10,-2.9466243,23.394657,-245.97931,207.08466
243,38,BACKSPACE,10,-0.60993916,28.186882,-233.88672,199.28741
244,11,l,8,-1.4758179,13.506253,-170.73059,32.470703
245,4,e,5,0.6429305,6.871194,-31.25,112.30469
246,36,SPACE,4,-0.59923357,25.304844,-231.44531,223.84644
247,6,g,8,0.29725266,27.141182,-250.0,187.98828
248,0,a,6,-1.706517,22.649803,-248.7793,188.23242
249,8,i,6,0.40319794,12.293009,-123.46649,93.97888
250,13,n,10,-1.0830556,16.686954,-244.95697,125.97656
251,38,BACKSPACE,8,-0.47470492,4.7291045,-61.027527,28.686523
252,8,i,9,-0.5837187,5.1774006,-77.308655,29.785156
253,13,n,7,-0.23574235,5.7173085,-106.49872,15.625
254,18,s,4,-0.77177435,9.732231,-109.321594,35.15625
255,19,t,10,-1.1994151,25.50775,-234.3216,223.1903
256,36,SPACE,10,-0.27654544,19.955437,-236.27472,128.0365
257,8,i,5,0.6195857,9.644645,-124.51172,70.34302
258,13,n,4,-0.7668018,12.500811,-247.90192,24.780272
259,36,SPACE,8,0.2467161,15.458216,-214.81323,113.342285
260,7,h,2,0.31088954,2.5046685,-9.765625,32.25708
261,14,o,9,0.4444937,12.386114,-124.99237,174.01123
262,22,w,2,0.2351366,1.9729443,-6.835937,26.664734
263,4,e,6,-3.7843513,30.852774,-249.97711,126.98364
264,21,v,4,-1.8566957,28.87553,-249.99237,191.71143
265,4,e,2,-0.036055483,9.4293995,-106.674194,105.75104
266,17,r,10,-4.0987735,29.007889,-249.8703,188.0722
267,36,SPACE,2,-1.1655201,17.532373,-249.74823,93.925476
268,8,i,4,-0.15596737,10.413857,-93.73474,95.703125
269,13,n,5,-1.0106044,21.010149,-249.89319,225.20447
270,2,c,4,-2.029747,20.212627,-249.93134,38.81836
271,17,r,8,-3.0340042,32.06626,-249.89319,156.25763
272,4,e,7,0.94056994,33.128822,-249.97711,141.11328
273,0,a,7,0.37419298,27.527674,-248.04688,235.87036
274,18,s,6,-2.7945282,30.164843,-249.98474,208.99963
275,4,e,8,-3.1636698,39.161102,-250.0,201.23291
276,36,SPACE,5,0.16737264,23.203957,-250.0,218.87207
277,1,b,4,-0.5738147,8.259608,-62.5,55.58014
278,4,e,4,-1.4867752,16.38632,-249.30573,63.537598
279,6,g,10,-3.6461957,34.351845,-249.77875,168.02979
280,8,i,2,0.19389617,16.039703,-245.82672,160.67505
281,13,n,6,-1.293501,23.354307,-250.0,188.47656
282,36,SPACE,5,0.18691826,22.499697,-249.75586,222.65625
283,11,l,6,-1.395721,22.30814,-249.70245,187.5534
284,14,o,4,-1.5741228,16.78602,-184.31854,188.01117
285,13,n,5,-0.81425476,17.539248,-122.81036,191.50543
286,6,g,4,0.15599298,6.264999,-60.935974,63.964844
287,36,SPACE,4,-1.1797396,18.94052,-249.50409,179.90875
288,15,p,7,1.4510889,27.582537,-250.0,161.13281
289,0,a,2,-0.7637167,18.501966,-248.98529,58.380127
290,17,r,7,-3.3635225,33.758297,-249.8703,191.61987
291,19,t,10,-2.9953387,36.147575,-249.95422,189.54468
292,36,SPACE,2,-1.3878728,20.417734,-250.0,102.23388
293,18,s,6,1.4716954,20.094465,-216.78925,187.5
294,12,m,9,-1.3999383,28.260963,-249.01581,225.04425
295,0,a,10,-0.0679456,12.809913,-124.946594,125.0
296,11,l,7,-2.7386906,25.75016,-248.84033,125.24414
297,11,l,4,-0.34301814,11.350528,-124.99237,141.11328
298,36,SPACE,10,-4.111477,32.536694,-250.0,215.94238
299,12,m,5,-0.5850619,17.367537,-249.98474,127.04468
300,20,u,7,-3.4402103,30.580856,-250.0,195.3125
301,2,c,10,0.5755639,21.384886,-218.6966,216.85791
302,7,h,6,-0.94514334,30.400429,-249.97711,188.36212
303,36,SPACE,10,-1.9783579,22.64313,-249.99237,188.84277
304,19,t,10,-2.4659064,26.406456,-234.375,156.25
305,4,e,10,0.113580786,25.1498,-249.63379,110.717766
306,11,l,4,-0.54345894,18.054401,-186.18774,238.76953
307,11,l,10,-0.08569517,15.905885,-218.48297,119.140625
308,36,SPACE,6,-1.6613034,10.592114,-123.97003,16.357422
309,0,a,6,0.4216644,21.257051,-216.7511,234.375
310,19,t,9,-4.739845,41.696808,-250.0,203.2013
311,36,SPACE,6,-0.73448414,24.546453,-250.0,234.38263
312,1,b,4,1.063116,14.585113,-246.82617,87.890625
313,4,e,4,0.7533202,6.549844,-62.416077,63.75885
314,5,f,4,-1.9036579,28.06788,-241.14227,203.125
315,14,o,5,-2.8791928,28.252909,-249.8703,93.75
316,17,r,4,0.96478075,18.019619,-187.25586,218.75
317,4,e,2,-1.0402447,18.787941,-249.98474,93.75
318,36,SPACE,4,0.25522637,26.443272,-249.95422,246.45996
319,18,s,7,-0.08453809,22.787073,-187.49237,196.04492
320,7,h,2,-1.2627059,22.845589,-249.9466,134.33838
321,14,o,6,-0.59997225,17.505161,-187.30927,125.0
322,22,w,2,-0.47858587,15.552316,-187.46948,218.75
323,36,SPACE,4,0.19582799,21.539675,-248.25287,203.2547
324,12,m,6,-4.259206,31.389751,-249.98474,211.1969
325,14,o,5,-2.9417672,20.970682,-249.57275,64.54468
326,21,v,5,0.14550501,18.239109,-249.51172,234.53522
327,4,e,4,0.5901012,19.10116,-249.93896,134.79614
328,36,SPACE,6,0.26474744,26.466536,-249.74823,238.32703
329,22,w,10,1.3087783,24.577448,-250.0,192.8711
330,5,f,10,-5.2242637,34.953587,-249.85504,187.53815
331,11,l,7,-1.9860014,30.601517,-249.91608,234.86328
332,36,SPACE,10,-1.1558824,29.999622,-249.71008,188.31635
333,38,BACKSPACE,10,0.93020743,22.901121,-250.0,187.53052
334,3,d,10,-1.4178158,31.419262,-249.75586,227.53906
335,36,SPACE,6,-1.4837255,21.25532,-246.02509,125.068665
336,5,f,4,-2.0175278,29.952473,-249.90082,187.66785
337,0,a,9,0.7729083,23.960817,-234.30634,187.54578
338,2,c,9,-6.223074,37.867878,-250.0,218.84155
339,36,SPACE,10,-2.1192462,35.748333,-249.99237,210.96802
340,7,h,10,-0.15629996,26.129665,-171.73004,234.43604
341,8,i,8,-4.709896,25.304838,-249.51172,126.24359
342,6,g,3,0.19097544,9.562481,-35.125732,174.07227
343,7,h,5,-0.023994206,14.58947,-124.96185,128.41797
344,36,SPACE,10,0.23960012,20.741234,-249.87793,125.1297
345,13,n,6,-2.2395732,19.553457,-242.1112,112.38861
346,4,e,5,-0.30825976,17.61677,-247.81036,191.60461
347,21,v,6,-1.2286615,22.019571,-249.9466,95.214836
348,4,e,2,0.16611695,6.0018477,-61.790466,60.134888
349,17,r,6,-2.0094035,23.954483,-249.9466,216.91895
350,36,SPACE,2,-1.5442696,18.742744,-249.99237,111.328125
351,14,o,7,0.14886233,14.907679,-247.9477,78.430176
352,5,f,4,1.1745938,10.723442,-104.4693,125.0
353,36,SPACE,10,-2.907846,31.79566,-249.73297,218.8034
354,19,t,10,-1.7080364,22.440483,-249.31335,127.39563
355,14,o,4,-0.31102973,13.997197,-225.28839,90.820305
356,39,TAB,10,-0.14073975,13.891468,-164.0625,70.3125
357,37,ENTER,10,-0.6525908,14.7988,-248.16895,121.36841
358,12,m,10,-1.328238,16.992212,-249.97711,69.38934
359,14,o,4,-0.629277,13.137154,-124.37439,220.70312
360,18,s,10,-1.4313593,26.385046,-249.88556,132.93457
361,19,t,10,-7.8875995,32.996944,-249.90845,77.90375
362,36,SPACE,5,-2.8368225,27.823895,-234.35974,234.6344
363,14,o,4,1.545112,16.145376,-101.7456,96.0083
364,5,f,4,-0.78072125,12.193523,-249.75586,52.97851
365,5,f,6,-2.9115565,26.192822,-250.0,103.57666
366,36,SPACE,5,-2.2509234,27.94264,-247.90955,161.16333
367,1,b,6,-2.112313,22.969141,-249.99237,96.87805
368,4,e,4,0.09685054,2.204661,-12.756347,19.721985
369,2,c,10,-3.5827467,31.0949,-250.0,195.78552
370,14,o,4,0.2924669,13.982649,-249.99237,109.48944
371,12,m,4,-0.7575079,11.96379,-187.38556,94.74945
372,4,e,3,1.3483336,10.659363,-22.888182,187.5
373,36,SPACE,6,-1.0376416,21.100142,-218.68896,126.0376
374,13,n,6,0.19611883,15.080984,-124.91608,197.26562
375,4,e,2,-0.829574,11.197719,-233.73413,10.864258
376,21,v,10,-2.3409135,26.520582,-226.53961,197.41821
377,4,e,7,0.15155898,27.653255,-249.49646,188.47656
378,17,r,6,-3.0783021,34.562378,-249.97711,193.35938
379,36,SPACE,4,0.081649415,19.887815,-171.26465,187.5
380,17,r,10,-2.796065,25.786879,-250.0,133.06427
381,38,BACKSPACE,10,-0.29593936,32.650845,-250.0,164.13116
382,21,v,2,-2.2460632,18.174864,-249.02344,125.061035
383,4,e,5,1.9874696,26.850788,-248.01636,200.21057
384,17,r,6,-2.0845284,32.04423,-246.08612,171.76056
385,24,y,2,0.55536944,15.379748,-163.81836,203.49121
386,36,SPACE,6,0.8792913,10.775146,-61.157223,76.26343
387,11,l,5,-1.2176948,17.139345,-249.97711,50.78125
388,4,e,4,-0.34678352,20.846525,-248.03925,188.03406
389,0,a,8,-1.106714,24.29977,-249.89319,129.4403
390,3,d,8,-3.2655747,33.384647,-250.0,220.09277
391,4,e,10,-1.0764976,23.581633,-218.6737,156.25
392,38,BACKSPACE,10,-2.1632693,26.720985,-249.89319,171.89026
393,36,SPACE,8,-2.2971513,23.64563,-249.00055,226.5625
394,12,m,7,-3.7392335,27.863647,-250.0,223.15216
395,8,i,4,-2.2480173,18.563791,-249.99237,39.093018
396,6,g,4,-0.33710042,4.028075,-61.99646,10.7421875
397,7,h,5,-0.43332142,20.975014,-218.73474,156.38733
398,36,SPACE,10,-0.87028354,19.363258,-250.0,71.77734
399,12,m,7,-2.1623657,19.865824,-249.86267,64.76593
400,14,o,4,0.36815235,7.317839,-116.4093,46.875
401,18,s,10,-2.2665346,23.766449,-185.50873,187.5
402,19,t,9,-4.1292987,32.91352,-249.98474,222.71729
403,36,SPACE,8,-4.350941,30.956656,-249.99237,130.43213
404,2,c,10,0.17875148,25.817062,-249.02344,187.76703
405,14,o,10,-1.9945478,32.50248,-249.83978,187.69073
406,12,m,6,0.30931428,9.1472225,-124.97711,74.21875
407,4,e,2,-0.024807274,12.993343,-234.36737,125.97656
408,36,SPACE,7,-2.0566287,30.841492,-249.96185,203.125
409,2,c,6,-5.0008755,29.378412,-249.90082,125.808716
410,14,o,4,-0.5998472,21.449434,-248.67249,156.86035
411,13,n,5,-0.5135451,17.984766,-249.75586,139.64844
412,3,d,4,1.2951653,17.476755,-187.4237,187.5
413,8,i,3,-0.15648535,21.846819,-218.07861,188.0722
414,3,d,3,-2.3602622,19.818043,-250.0,80.078125
415,17,r,10,-0.68077826,27.253832,-250.0,197.46399
416,38,BACKSPACE,10,-2.010277,33.10148,-250.0,172.37854
417,17,r,4,0.21498017,10.219029,-186.50818,44.433594
418,19,t,6,-3.9733455,29.265497,-249.96948,134.81903
419,36,SPACE,7,-0.5915665,31.004705,-250.0,219.29169
420,13,n,7,-1.5813087,26.43274,-249.96185,222.74017
421,4,e,7,-1.6818002,31.994684,-249.83215,156.37207
422,22,w,8,-0.9460501,31.42696,-247.30682,132.8125
423,36,SPACE,4,-1.9154081,20.74845,-183.5556,203.36914
424,15,p,9,-5.452,34.038067,-250.0,188.30109
425,17,r,4,-1.0333983,20.702755,-249.91608,171.875
426,4,e,6,-0.34624922,24.062023,-249.47357,187.73651
427,18,s,8,-0.45643243,30.081964,-249.24469,156.74591
428,4,e,5,-1.4155011,27.591398,-245.23926,218.81104
429,13,n,6,-2.3554742,30.573973,-248.98529,219.0857
430,19,t,5,-4.731627,24.88385,-249.95422,32.714844
431,36,SPACE,6,-1.0800662,22.94026,-243.04199,140.625
432,5,f,5,-0.97776407,26.340641,-185.02808,247.58148
433,8,i,4,0.39871418,21.644619,-250.0,226.96686
434,13,n,4,-0.8378275,14.871817,-250.0,66.40625
435,3,d,4,1.2359304,9.720875,-54.13818,128.90625
436,36,SPACE,5,1.231498,26.03863,-247.88666,220.73364
437,3,d,4,-0.047479197,21.212408,-240.23438,220.26062
438,22,w,8,2.5644536,25.130476,-156.22711,195.3125
439,13,n,2,-0.33135232,17.443676,-249.93896,171.875
440,36,SPACE,8,-4.108911,25.31682,-249.99237,158.81348
441,15,p,10,-1.6353111,15.9362955,-210.77728,105.46875
442,4,e,4,-2.3749022,20.887981,-238.28125,189.78882
443,14,o,5,-1.2764959,24.566725,-249.90845,234.61914
444,15,p,6,-0.9332076,8.589069,-118.6142,34.431458
